IP-0-77,IN,A,10.1.0.77
IP-0-78,IN,A,10.1.0.78
IP-0-79,IN,A,10.1.0.79
lxc01,IN,A,10.1.0.80
IP-0-81,IN,A,10.1.0.81
IP-0-82,IN,A,10.1.0.82
IP-0-83,IN,A,10.1.0.83
IP-0-84,IN,A,10.1.0.84
radius01,IN,A,10.1.0.85
IP-0-86,IN,A,10.1.0.86
IP-0-87,IN,A,10.1.0.87
pcnat01,IN,A,10.1.0.88
IP-0-89,IN,A,10.1.0.89
IP-0-90,IN,A,10.1.0.90
IP-0-91,IN,A,10.1.0.91
IP-0-92,IN,A,10.1.0.92
IP-0-93,IN,A,10.1.0.93
IP-0-94,IN,A,10.1.0.94
IP-0-95,IN,A,10.1.0.95
IP-0-96,IN,A,10.1.0.96
IP-0-97,IN,A,10.1.0.97
IP-0-98,IN,A,10.1.0.98
IP-0-99,IN,A,10.1.0.99
IP-0-100,IN,A,10.1.0.100
csmailgate01,IN,A,10.1.0.101
IP-0-102,IN,A,10.1.0.102
IP-0-103,IN,A,10.1.0.103
IP-0-104,IN,A,10.1.0.104
csmailer01,IN,A,10.1.0.105
IP-0-106,IN,A,10.1.0.106
IP-0-107,IN,A,10.1.0.107
IP-0-108,IN,A,10.1.0.108
IP-0-109,IN,A,10.1.0.109
IP-0-110,IN,A,10.1.0.110
csmx01,IN,A,10.1.0.111
csmx02,IN,A,10.1.0.112
csmx03,IN,A,10.1.0.113
csmx04,IN,A,10.1.0.114
csmx05,IN,A,10.1.0.115
IP-0-116,IN,A,10.1.0.116
IP-0-117,IN,A,10.1.0.117
IP-0-118,IN,A,10.1.0.118
IP-0-119,IN,A,10.1.0.119
IP-0-120,IN,A,10.1.0.120
csmail01,IN,A,10.1.0.121
csmail02,IN,A,10.1.0.122
csmail03,IN,A,10.1.0.123
csmail04,IN,A,10.1.0.124
csmail05,IN,A,10.1.0.125
IP-0-126,IN,A,10.1.0.126
IP-0-127,IN,A,10.1.0.127
IP-0-128,IN,A,10.1.0.128
IP-0-129,IN,A,10.1.0.129
IP-0-130,IN,A,10.1.0.130
csmwproxy01,IN,A,10.1.0.131
IP-0-132,IN,A,10.1.0.132
IP-0-133,IN,A,10.1.0.133
farewell01,IN,A,10.1.0.134
IP-0-135,IN,A,10.1.0.135
IP-0-136,IN,A,10.1.0.136
coredb01,IN,A,10.1.0.137
coredb02,IN,A,10.1.0.138
IP-0-139,IN,A,10.1.0.139
IP-0-140,IN,A,10.1.0.140
IP-0-141,IN,A,10.1.0.141
IP-0-142,IN,A,10.1.0.142
IP-0-143,IN,A,10.1.0.143
IP-0-144,IN,A,10.1.0.144
IP-0-145,IN,A,10.1.0.145
IP-0-146,IN,A,10.1.0.146
IP-0-147,IN,A,10.1.0.147
IP-0-148,IN,A,10.1.0.148
IP-0-149,IN,A,10.1.0.149
IP-0-150,IN,A,10.1.0.150
csrdr01,IN,A,10.1.0.151
csrdr02,IN,A,10.1.0.152
CSWS1,IN,A,10.1.0.153
CSWS2,IN,A,10.1.0.154
wwwdb,IN,A,10.1.0.155
csstuweb1,IN,A,10.1.0.156
csstuweb2,IN,A,10.1.0.157
dbhome,IN,A,10.1.0.158
help.cs,IN,A,10.1.0.159
IP-0-160,IN,A,10.1.0.160
IP-0-161,IN,A,10.1.0.161
IP-0-162,IN,A,10.1.0.162
IP-0-163,IN,A,10.1.0.163
IP-0-164,IN,A,10.1.0.164
IP-0-165,IN,A,10.1.0.165
IP-0-166,IN,A,10.1.0.166
IP-0-167,IN,A,10.1.0.167
